Date,Products,ISIN,Place,Exec Place,Qty,Buying_value,Actual_value,Total_Actual_value_for_day,Total_Buying_value_for_day,Product_pct_in_portfolio_for_day,Value_diff,Percentage_diff
2025-03-22,Deutsche Bank,DE0005140008,XETR,ETR,30,580.5,668.4000205993652,84257.70147323608,82139.27866899999,0.793280624693611,87.90002059936523,15.142122411604692
2024-12-05,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1836.0000610351562,1836.0000610351562,1839.000061,100.0,-2.9999999648437097,-0.16313212970816263
2024-12-06,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1843.6000061035156,1843.6000061035156,1839.000061,100.0,4.599945103515665,0.25013295002363056
2024-12-07,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1843.6000061035156,1843.6000061035156,1839.000061,100.0,4.599945103515665,0.25013295002363056
2024-12-08,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1843.6000061035156,1843.6000061035156,1839.000061,100.0,4.599945103515665,0.25013295002363056
2024-12-09,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1836.3999938964844,1836.3999938964844,1839.000061,100.0,-2.6000671035155847,-0.14138482965039906
2024-12-10,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1835.0,1835.0,1839.000061,100.0,-4.00006099999996,-0.21751282584650003
2024-12-11,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1825.8000183105469,1825.8000183105469,1839.000061,100.0,-13.200042689453085,-0.7177837004679188
2024-12-12,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1813.800048828125,1813.800048828125,1839.000061,100.0,-25.20001217187496,-1.3703105674815397
2024-12-13,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1783.3999633789062,1783.3999633789062,1839.000061,100.0,-55.60009762109371,-3.023387481067284
2024-12-14,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1783.3999633789062,1783.3999633789062,1839.000061,100.0,-55.60009762109371,-3.023387481067284
2024-12-15,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1783.3999633789062,1783.3999633789062,1839.000061,100.0,-55.60009762109371,-3.023387481067284
2024-12-16,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1776.3999938964844,1776.3999938964844,1839.000061,100.0,-62.600067103515585,-3.4040274620477886
2024-12-17,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1834.7999572753906,1834.7999572753906,1839.000061,100.0,-4.200103724609335,-0.22839062454002465
2024-12-18,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1836.0000610351562,1836.0000610351562,1839.000061,100.0,-2.9999999648437097,-0.16313212970816263
2024-12-19,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1830.0,1830.0,1839.000061,100.0,-9.00006099999996,-0.48939971187961584
